Red_list_category,Country,num_species,Category
EN,Brazil,11,Endangered
EN,Bulgaria,1,Endangered
EN,Cambodia,2,Endangered
EN,Canada,39,Endangered
EN,Cape Verde,1,Endangered
EN,Cayman Islands,6,Endangered
EN,Chile,5,Endangered
EN,China,11,Endangered
EN,Christmas Island,2,Endangered
EN,Colombia,4,Endangered
EN,Comoros,2,Endangered
EN,"Congo, The Democratic Republic Of The",5,Endangered
EN,Costa Rica,6,Endangered
EN,C̫te D'Ivoire,2,Endangered
EN,Cyprus,4,Endangered
EN,Dominican Republic,2,Endangered
EN,Ecuador,3,Endangered
EN,Ethiopia,10,Endangered
EN,France,1,Endangered
EN,French Polynesia,3,Endangered
EN,French Southern Territories,5,Endangered
EN,Gabon,1,Endangered
EN,Gibraltar,2,Endangered
EN,Greece,9,Endangered
EN,Greenland,1,Endangered
EN,Guadeloupe,1,Endangered
EN,Guam,2,Endangered
EN,Guinea,2,Endangered
EN,Hong Kong,1,Endangered
EN,Iceland,4,Endangered
EN,India,51,Endangered
EN,Indonesia,8,Endangered
EN,International Waters,1,Endangered
EN,"Iran, Islamic Republic Of",2,Endangered
EN,Israel,1,Endangered
EN,Italy,2,Endangered
EN,Japan,4,Endangered
EN,Kenya,14,Endangered
EN,Kiribati,6,Endangered
EN,"Korea, Republic Of",7,Endangered
EN,Lao People's Democratic Republic,2,Endangered
EN,Lesotho,1,Endangered
EN,Liberia,1,Endangered
EN,Madagascar,6,Endangered
EN,Malaysia,9,Endangered
EN,Mali,1,Endangered
EN,Mauritius,8,Endangered
EN,Mexico,9,Endangered
EN,Mongolia,5,Endangered
EN,Morocco,5,Endangered
EN,Mozambique,1,Endangered
EN,Myanmar,2,Endangered
EN,Namibia,23,Endangered
EN,Nepal,4,Endangered
EN,New Caledonia,1,Endangered
EN,New Zealand,10,Endangered
EN,Northern Mariana Islands,2,Endangered
EN,Pakistan,15,Endangered
EN,Panama,2,Endangered
EN,Paraguay,1,Endangered
EN,Peru,4,Endangered
EN,Puerto Rico,11,Endangered
EN,Romania,1,Endangered
EN,Russian Federation,22,Endangered
EN,"Saint Helena, Ascension And Tristan Da Cunha",4,Endangered
EN,Serbia,1,Endangered
EN,Seychelles,11,Endangered
EN,Sierra Leone,1,Endangered
EN,South Africa,60,Endangered
EN,South Georgia And The South Sandwich Islands,2,Endangered
EN,Spain,6,Endangered
EN,Sri Lanka,1,Endangered
EN,Suriname,1,Endangered
EN,Swaziland,1,Endangered
EN,Syrian Arab Republic,1,Endangered
EN,"Taiwan, Province Of China",6,Endangered
EN,"Tanzania, United Republic Of",3,Endangered
EN,Thailand,6,Endangered
EN,Tunisia,1,Endangered
EN,Turkey,26,Endangered
EN,Turkmenistan,1,Endangered
EN,Uganda,24,Endangered
EN,United Kingdom,1,Endangered
EN,United States,84,Endangered
EN,Uzbekistan,2,Endangered
EN,Viet Nam,1,Endangered
EN,"Virgin Islands, U.S.",2,Endangered
EN,Zimbabwe,1,Endangered
EW,Canada,1,Extinct in the Wild
EW,Guam,2,Extinct in the Wild
EW,Uganda,1,Extinct in the Wild
EX,Costa Rica,1,Extinct
EX,Ecuador,3,Extinct
EX,Guatemala,1,Extinct
LC,<cc><c9>land Islands,1,Least Concern
LC,Albania,14,Least Concern
LC,Algeria,4,Least Concern
LC,American Samoa,2,Least Concern
LC,Andorra,1,Least Concern
LC,Antarctica,25,Least Concern
LC,Antigua And Barbuda,6,Least Concern
LC,Argentina,23,Least Concern
LC,Australia,394,Least Concern
LC,Austria,32,Least Concern
LC,Bahamas,1,Least Concern
LC,Bangladesh,1,Least Concern
LC,Barbados,2,Least Concern
LC,Belarus,10,Least Concern
LC,Belgium,19,Least Concern
LC,Belize,28,Least Concern
LC,Benin,4,Least Concern
LC,Bermuda,1,Least Concern
LC,"Bolivia, Plurinational State Of",1,Least Concern
LC,Botswana,2,Least Concern
LC,Brazil,344,Least Concern
LC,British Indian Ocean Territory,17,Least Concern
LC,Bulgaria,11,Least Concern
LC,Burundi,1,Least Concern
LC,Cambodia,1,Least Concern
LC,Cameroon,33,Least Concern
LC,Canada,3115,Least Concern
LC,Cayman Islands,7,Least Concern
LC,Central African Republic,13,Least Concern
LC,Chad,1,Least Concern
LC,Chile,24,Least Concern
LC,China,17,Least Concern
LC,Colombia,3,Least Concern
LC,"Congo, The Democratic Republic Of The",2,Least Concern
LC,Cook Islands,1,Least Concern
LC,Costa Rica,15,Least Concern
LC,Croatia,10,Least Concern
LC,C̫te D'Ivoire,12,Least Concern
LC,Cyprus,4,Least Concern
LC,Czech Republic,23,Least Concern
LC,Denmark,91,Least Concern
LC,Dominican Republic,6,Least Concern
LC,Ecuador,3,Least Concern
LC,Egypt,17,Least Concern
LC,Estonia,34,Least Concern
LC,Ethiopia,15,Least Concern
LC,Falkland Islands (Malvinas),1,Least Concern
LC,Finland,151,Least Concern
LC,France,219,Least Concern
LC,French Guiana,4,Least Concern
LC,French Polynesia,20,Least Concern
LC,French Southern Territories,16,Least Concern
LC,Germany,225,Least Concern
LC,Ghana,19,Least Concern
LC,Greece,28,Least Concern
LC,Greenland,45,Least Concern
LC,Guam,10,Least Concern
LC,Guinea,8,Least Concern
